iter	Passed	Remaining
604	24179	95720
605	24217	95669
606	24252	95610
607	24297	95591
608	24346	95585
609	24378	95517
610	24413	95456
611	24449	95399
612	24485	95343
613	24522	95295
614	24568	95279
615	24605	95228
616	24642	95174
617	24775	95492
618	24812	95441
619	24848	95387
620	24884	95332
621	24929	95308
622	24964	95249
623	24999	95191
624	25035	95136
625	25070	95074
626	25110	95036
627	25143	94970
628	25177	94907
629	25213	94850
630	25252	94808
631	25293	94771
632	25330	94719
633	25367	94668
634	25405	94619
635	25451	94602
636	25489	94554
637	25524	94496
638	25560	94440
639	25596	94385
640	25640	94363
641	25674	94301
642	25710	94245
643	25745	94186
644	25789	94161
645	25826	94109
646	25862	94056
647	25899	94006
648	25935	93949
649	25979	93925
650	26015	93870
651	26048	93807
652	26083	93749
653	26126	93718
654	26161	93661
655	26197	93608
656	26233	93555
657	26269	93501
658	26312	93471
659	26350	93425
660	26382	93355
661	26418	93303
662	26460	93268
663	26493	93206
664	26527	93144
665	26561	93084
666	26597	93031
667	26642	93009
668	26680	92962
669	26718	92915
670	26752	92857
671	26795	92827
672	26832	92776
673	26868	92723
674	26902	92662
675	26938	92611
676	26981	92581
677	27017	92529
678	27052	92472
679	27087	92417
680	27132	92395
681	27168	92340
682	27204	92287
683	27237	92226
684	27275	92178
685	27314	92137
686	27348	92077
687	27384	92023
688	27419	91967
689	27462	91941
690	27486	91846
691	27521	91790
692	27558	91740
693	27593	91685
694	27634	91651
695	27668	91593
696	27705	91544
697	27739	91483
698	27781	91453
699	27815	91395
700	27850	91339
701	27887	91290
702	27923	91238
703	27969	91217
704	28004	91165
705	28041	91114
706	28077	91064
707	28125	91051
708	28159	90991
709	28195	90941
710	28232	90892
711	28275	90863
712	28311	90809
713	28348	90761
714	28378	90691
715	28414	90641
716	28459	90617
717	28495	90565
718	28529	90508
719	28565	90457
720	28609	90432
721	28646	90383
722	28683	90334
723	28718	90281
724	28755	90232
725	28800	90209
726	28836	90158
727	28872	90107
728	28907	90052
729	28950	90025
730	28987	89976
731	29023	89925
732	29058	89871
733	29096	89826
734	29146	89818
735	29183	89771
736	29219	89719
737	29254	89664
738	29294	89628
739	29335	89592
740	29371	89540
741	29405	89483
742	29437	89420
743	29478	89385
744	29513	89333
745	29546	89272
746	29579	89214
747	29615	89163
748	29657	89130
749	29694	89084
750	29730	89032
751	29766	88981
752	29811	88960
753	29848	88912
754	29885	88865
755	29923	88819
756	29957	88765
757	29990	88705
758	30036	88684
759	30073	88638
760	30113	88600
761	30148	88547
762	30183	88494
763	30225	88460
764	30264	88421
765	30300	88369
766	30336	88319
767	30371	88266
768	30418	88248
769	30453	88197
770	30487	88140
771	30522	88087
772	30565	88058
773	30599	88003
774	30635	87953
775	30673	87910
776	30706	87850
777	30751	87828
778	30785	87773
779	30821	87723
780	30857	87672
781	30899	87640
782	30937	87597
783	30976	87554
784	31008	87495
785	31046	87450
786	31088	87419
787	31123	87366
788	31157	87311
789	31193	87263
790	31236	87234
791	31271	87182
792	31305	87126
793	31339	87072
794	31375	87023
795	31421	87000
796	31456	86949
797	31497	86914
798	31532	86861
799	31576	86836
800	31613	86790
801	31649	86740
802	31684	86688
803	31724	86651
804	31759	86598
805	31794	86546
806	31830	86497
807	31872	86466
808	31919	86446
809	31954	86396
810	31989	86344
811	32026	86297
812	32067	86263
813	32104	86217
814	32141	86169
815	32174	86114
816	32209	86063
817	32256	86043
818	32290	85989
819	32326	85941
820	32361	85889
821	32404	85861
822	32442	85816
823	32477	85767
824	32515	85721
825	32553	85679
826	32593	85641
827	32632	85600
828	32666	85548
829	32699	85491
830	32742	85462
831	32776	85408
832	32811	85355
833	32846	85305
834	32889	85277
835	32933	85249
836	32968	85197
837	33003	85146
838	33027	85068
839	33135	85205
840	33192	85212
841	33228	85162
842	33269	85127
843	33308	85087
844	33343	85036
845	33378	84984
846	33413	84933
847	33458	84907
848	33492	84856
849	33528	84808
850	33563	84756
851	33607	84728
852	33641	84676
853	33678	84629
854	33714	84582
855	33755	84547
856	33794	84505
857	33829	84455
858	33865	84407
859	33900	84357
860	33946	84333
861	33980	84280
862	34014	84227
863	34048	84174
864	34090	84141
865	34125	84092
866	34160	84042
867	34195	83992
868	34231	83943
869	34274	83912
870	34309	83863
871	34344	83814
872	34379	83762
